sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
Can you please decrease the number of assignments?,VERTICALITY,"SCALE, SUBSTANCE, OBJECT",Can you please decrease the water level in the tank?,7,7,<3 ahahaha
Bass closed sharply lower although above the worst of the session.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The water level dropped quickly but remained higher than its lowest point during the day.,7,7,
Her temperature is going down.,VERTICALITY,"SCALE, VERTICALITY, SOURCE_PATH_GOAL",The mercury level in the thermometer is descending.,7,7,
The price of stocks rose.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The balloon rose in the air.,7,7,
My to-do list is piling up!,VERTICALITY,"VERTICALITY, FORCE, OBJECT, SCALE",The stack of papers is growing taller.,7,7,
level of anger,VERTICALITY,"SCALE, SUBSTANCE, CONTAINMENT",level of water,7,7,
anger rise (in PERS),VERTICALITY,"VERTICALITY, CONTAINMENT, SUBSTANCE, SCALE",The water level rises in the tank.,7,7,
anger drop,VERTICALITY,"VERTICALITY, SUBSTANCE, SCALE",The water level dropped in the tank.,7,7,
anger arise/come arising from X,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",Steam rises from the boiling water.,7,7,
rising/high anger,VERTICALITY,"VERTICALITY, SCALE, SUBSTANCE",The temperature is rising/high on the thermometer.,7,7,
level/height of anger,VERTICALITY,"VERTICALITY, SCALE, SUBSTANCE",The water level in the tank,7,7,
she gets up his anger,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",She lifts the heavy box from the floor.,7,6,
fear be high among X,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT",The water level is high in the tank.,7,7,
fear peak,VERTICALITY,"SCALE, VERTICALITY, OBJECT",The mountain peak is visible.,6,7,
fear be ascendant,VERTICALITY,"VERTICALITY, SCALE, FORCE",The balloon rises in the air.,7,7,
fear rise,VERTICALITY,"VERTICALITY, SCALE, SUBSTANCE",The water level rises in the tank.,7,7,
X heighten fear,VERTICALITY,"SCALE, VERTICALITY, FORCE",The tower heightens the skyline,7,7,
The number of poor people is higher than the number of rich ones.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The tall building is higher than the short building.,7,7,
Joe is above Bill in intelligence.,VERTICALITY,"VERTICALITY, SCALE",The book is above the table in height.,7,7,
He thinks he is above us.,VERTICALITY,"VERTICALITY, SCALE",The bird is flying above the trees.,7,7,
He has an edge over us.,VERTICALITY,"VERTICALITY, FORCE, SCALE",The knife has a sharp edge above the cutting board.,5,7,
We’re not at his level.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT",The book is not on the top shelf.,7,7,
He’s up there with the best of them.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT, PART-WHOLE",The book is on the top shelf with other high-quality books.,7,7,
The number of poor people is higher than the number of rich ones.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The tall building is higher than the short building.,7,7,
Joe is above Bill in intelligence.,VERTICALITY,"VERTICALITY, SCALE",The book is above the table in height.,7,7,
He thinks he is above us.,VERTICALITY,"VERTICALITY, SCALE",The bird is flying above the trees.,7,7,
He has an edge over us.,VERTICALITY,"VERTICALITY, FORCE, SCALE",The knife has a sharp edge above the cutting board.,5,7,
We’re not at his level.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT",The book is not on the top shelf.,7,7,
He’s up there with the best of them.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT, PART-WHOLE",The book is on the top shelf with other high-quality books.,7,7,
She has high standards.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The building has high floors.,7,7,
He does high-quality work.,VERTICALITY,"VERTICALITY, SCALE, SUBSTANCE",The building has a high elevation.,7,7,
"We hit a peak last year, but it’s been downhill ever since.",VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE, SCALE","We reached the mountain's summit last year, but we've been descending since then.",7,7,
Things are looking up.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The balloon is rising in the air.,7,7,
Things are at an all-time low.,VERTICALITY,"SCALE, VERTICALITY",The water level in the reservoir is at its lowest point.,7,7,
High-quality work.,VERTICALITY,"SCALE, VERTICALITY, SUBSTANCE",Tall building.,7,7,
My cake will never be up there with hers.,VERTICALITY,"VERTICALITY, SCALE, LINK, SOURCE_PATH_GOAL",My cake will never be on the top shelf next to hers.,7,7,
His work has really been slipping.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",The book has been sliding down the table.,7,7,
His work has really been sliding.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",The book has been sliding down the table.,7,7,
His work has really been slumping.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",The book has been sliding down the table.,7,7,
Living up to high expectations,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL, FORCE",Climbing up to a high altitude,7,7,
"For the wise the path of life leads upwards, in order to avoid Sheol below.",VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT, SCALE",The hiking trail ascends the mountain to avoid the valley below.,7,7,
he ranks high.,VERTICALITY,"VERTICALITY, SCALE",The book is on the top shelf.,7,7,
Spinach ranks higher than lettuce in greeness.,VERTICALITY,"SCALE, VERTICALITY",The tree is taller than the bush.,7,7,
Eddie Murphy ranks above Bob Hope in sense of humor.,VERTICALITY,"VERTICALITY, SCALE",The skyscraper stands taller than the office building.,7,7,
he ranks very low.,VERTICALITY,"SCALE, VERTICALITY",The book is on the bottom shelf.,7,7,
He’s at the bottom of the list.,VERTICALITY,"VERTICALITY, CONTAINMENT, SCALE",The book is at the bottom of the stack.,7,7,
She’ll rise to the top.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The balloon will rise to the ceiling.,7,7,
He has little upward mobility.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The elevator has limited upward movement.,7,7,
He’s at the bottom of the social hierarchy.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT",The book is at the bottom of the stack.,7,7,
He has a lofty position.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The bird has a high perch.,7,7,
She’ll rise to the top.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The balloon will rise to the ceiling.,7,7,
He’s at the peak of his career.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",He's at the top of the mountain.,7,7,
He’s climbing the ladder.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",He's ascending the staircase.,7,7,
He has little upward mobility.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The elevator has limited upward movement.,,,
She fell in status.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",She fell down the stairs.,,,
Climbing the academic ladder.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",Climbing the physical ladder.,,,
to fall from grace,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",The apple fell from the tree branch.,,,
He ranks above me.,VERTICALITY,"VERTICALITY, SCALE",The book is placed above the notebook on the shelf.,,,
They are lower class.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT",They are on the bottom shelf.,,,
Climbing the ladder in the company.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE, CONTAINMENT",Climbing the ladder in the building.,,,
Be nice to the people you meet on your way up. . .,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, CONTACT, LINK",Be friendly to the people you encounter while climbing a mountain.,,,
He’s the top of the heap.,VERTICALITY,"VERTICALITY, SCALE, PART-WHOLE",The book is on top of the stack.,,,
He's gone over my head to the top supervisor.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, SCALE",He climbed over the tall fence to reach the highest point.,,,
In that community there is little opportunity for upward mobility.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT, SOURCE_PATH_GOAL",In that building there is little space for upward movement.,,,
He is low on the totem pole.,VERTICALITY,"VERTICALITY, SCALE, PART-WHOLE",He is at the bottom of the organizational hierarchy.,,,
I have control over her.,VERTICALITY,"FORCE, CONTAINMENT, VERTICALITY",I hold the rope above her.,,,
His power is on the decline.,VERTICALITY,"SCALE, VERTICALITY, SOURCE_PATH_GOAL",The water level is decreasing in the reservoir.,,,
I have control over him.,VERTICALITY,"FORCE, CONTAINMENT, VERTICALITY",I hold the rope above her.,,,
He is under my power.,VERTICALITY,"VERTICALITY, FORCE, CONTAINMENT",The book is under the heavy paperweight.,,,
I’m on top of the situation.,VERTICALITY,"VERTICALITY, CONTAINMENT, SUPPORT, FORCE",The book is on top of the stack.,,,
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT, SUBSTANCE, PART-WHOLE","The water's rise in the tank cannot be attributed to one source, but a mixture of inputs including streams flowing from outside the reservoir...",,,
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,VERTICALITY,"SCALE, SOURCE_PATH_GOAL, CENTER-PERIPHERY, CONTAINMENT",The river's water level reached its highest point when it flooded the city from the spring to the summer.,,,
I have it all under control.,VERTICALITY,"CONTAINMENT, VERTICALITY, FORCE",I hold all the objects beneath my hands.,,,
He has a dominating/submissive personality.,VERTICALITY,"VERTICALITY, FORCE, CONTAINMENT",The tall building dominates the skyline.,,,
He’s in superior position.,VERTICALITY,"VERTICALITY, CONTAINMENT, SCALE",The book is on the top shelf.,,,
He’s at the height of his power.,VERTICALITY,"VERTICALITY, SCALE, CONTAINMENT",He's at the top of the mountain.,,,
He’s in the high command.,VERTICALITY,"CONTAINMENT, VERTICALITY, SCALE",He's in the top floor office.,,,
He’s in the upper echelon.,VERTICALITY,"CONTAINMENT, VERTICALITY, SCALE",He's on the top shelf of the bookcase.,,,
His power rose.,VERTICALITY,"VERTICALITY, SCALE, FORCE",The water level rose in the tank.,,,
He ranks above me in strength.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The book is placed above the notebook on the shelf.,,,
He fell from power.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",He fell from the ladder.,,,
He is my social inferior.,VERTICALITY,"VERTICALITY, SCALE",The basement is below the ground floor.,,,
He is low man on the totem pole.,VERTICALITY,"VERTICALITY, SCALE, PART-WHOLE",He is at the bottom of the organizational hierarchy.,,,
I’m on top of the situation.,VERTICALITY,"VERTICALITY, CONTAINMENT, SUPPORT, FORCE",The book is on top of the stack.,,,
Don’t worry! I’m on top of the situation.,VERTICALITY,"VERTICALITY, CONTAINMENT, SUPPORT, FORCE",Don't worry! I'm standing on top of the table.,,,
Today there are very few submissive women.,VERTICALITY,"SCALE, CONTAINMENT",Today there are very few small rocks in the jar.,,,
Report to your superiors for duty.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, LINK",Walk to your manager's office for instructions.,,,
He's the low man on the totem pole.,VERTICALITY,"VERTICALITY, SCALE, PART-WHOLE, SUPPORT",He's at the bottom of the organizational hierarchy.,,,
Napoleon's skill at the siege of Toulon while only an artillery captain under General Jacques Dugommier was to start Napoleon on the path of greatness; a rise to power that was to be incredibly rapid.,VERTICALITY,"SOURCE_PATH_GOAL, SCALE, VERTICALITY, FORCE",The hiker's first step on the trail at the base of the mountain began his ascent to the summit; a climb that was to be very quick.,,,
Relax. We've got everything under control.,VERTICALITY,"CONTAINMENT, FORCE, OBJECT",The toys are stored in the box.,,,
The pupils submitted themselves to discipline.,VERTICALITY,"CONTAINMENT, FORCE, OBJECT",The students followed the classroom rules.,,,
She did it under the supervision of a a senior teacher.,VERTICALITY,"SUPPORT, VERTICALITY, CONTAINMENT",The book is under the shelf.,,,
Who's the underdog?,VERTICALITY,"VERTICALITY, SCALE, OBJECT",Who's the smaller dog?,,,
He suffers from an inferiority complex.,VERTICALITY,"CONTAINMENT, FORCE, SUBSTANCE",He carries a heavy backpack.,,,
I belong to the subordinate staff.,VERTICALITY,"CONTAINMENT, PART-WHOLE, LINK",I am a member of the junior team.,,,
A major is below a colonel.,VERTICALITY,"VERTICALITY, SCALE",The first floor is below the second floor.,,,
The romans subjected most of Europe to their rule.,VERTICALITY,"CONTAINMENT, FORCE, COVERING, SCALE",The blanket covered most of the bed.,,,
They subdued their enemies to their sway.,VERTICALITY,"FORCE, CONTAINMENT, VERTICALITY, SCALE",They physically restrained their opponents under their control.,,,
He spoke to her in a condescending tone.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",He stood above her on the staircase.,,,
He even stooped to lying.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",He bent down to pick up the pen.,,,
That boosted my spirits.,VERTICALITY,"VERTICALITY, FORCE, SCALE",The crane lifted the heavy crate.,,,
He is really down these days.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",He is at the bottom of the stairs these days.,,,
I’m depressed.,VERTICALITY,"CONTAINMENT, FORCE, VERTICALITY, SCALE",I'm at the bottom of a deep hole.,,,
My spirit rose.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The balloon rose in the air.,,,
You’re in high spirits.,VERTICALITY,"CONTAINMENT, VERTICALITY, SCALE",You're on top of a tall building.,,,
Thinking about her always gives me a lift.,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",The elevator gives me a lift to the top floor.,,,
I'm soaring with joy.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The bird is soaring in the sky.,,,
I’m feeling down.,VERTICALITY,"VERTICALITY, SCALE, FORCE",The elevator is going down.,,,
He’s really low these days.,VERTICALITY,"VERTICALITY, SCALE",The book is on the bottom shelf.,,,
I fell into a depression.,VERTICALITY,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE, VERTICALITY",He fell into a hole in the ground.,,,
My spirit sank.,VERTICALITY,"VERTICALITY, FORCE, SUBSTANCE",The boat sank in the ocean.,,,
His spirits fell.,VERTICALITY,"VERTICALITY, FORCE, OBJECT",The ball fell to the ground.,,,
Cheer up!,VERTICALITY,"VERTICALITY, FORCE, SCALE",Move your body upward!,,,
I’m feeling up today.,VERTICALITY,"VERTICALITY, SCALE",The balloon is rising up in the air.,,,
He’s really low these days.,VERTICALITY,"VERTICALITY, SCALE",The book is on the bottom shelf.,,,
We had to cheer him up.,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",We had to lift the box up.,,,
Lighten up!,VERTICALITY,"SCALE, VERTICALITY, SUBSTANCE",Turn up the brightness of the lamp.,,,
She lit up.,VERTICALITY,"SOURCE_PATH_GOAL, FORCE, VERTICALITY",The lamp lit up.,,,
We had to cheer him up.,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",We had to lift the box up.,,,
He will be elated with joy,VERTICALITY,"VERTICALITY, SCALE, FORCE, SUBSTANCE",The balloon will be filled with air,,,
joy be lifted,VERTICALITY,"VERTICALITY, FORCE, OBJECT",The box was lifted from the ground.,,,
He brought me down with his remarks,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",He pushed me to the ground with his hands,,,
sinking feeling of sadness,VERTICALITY,"VERTICALITY, FORCE, SUBSTANCE",The boat is sinking in the water.,,,
I'm uplifted.,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",The balloon is lifted upwards.,,,
He was overjoyed.,VERTICALITY,"SCALE, CONTAINMENT, VERTICALITY",The water overflowed the container.,,,
I was flying high.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The bird was flying at a high altitude.,,,
She was on cloud nine.,VERTICALITY,"SUPPORT, VERTICALITY, SCALE",She was standing on the ninth floor.,,,
I'm six feet off the ground.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The bird is six feet above the ground.,,,
We were in the clouds.,VERTICALITY,"CONTAINMENT, VERTICALITY, SUBSTANCE",We were inside the airplane.,,,
I was just soaring with happiness.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The bird was soaring high in the sky.,,,
"After the exam, I was walking on air for days.",VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SUPPORT, SUBSTANCE","After the exam, I was walking on the sidewalk for days.",,,
They were riding high.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",They were sitting on top of a tall building.,,,
I wasfloating.,VERTICALITY,"VERTICALITY, FORCE, SUBSTANCE",The balloon was floating in the air.,,,
deep sadness,VERTICALITY,"CONTAINMENT, VERTICALITY, SCALE",The well is deep,,,
sadness be deep,VERTICALITY,"VERTICALITY, CONTAINMENT, SCALE",The well is deep,,,
event deepen sadness,VERTICALITY,"SCALE, VERTICALITY, SUBSTANCE",The water deepened in the pool.,,,
sinking feeling of sadness,VERTICALITY,"VERTICALITY, FORCE, SUBSTANCE",The boat is sinking in the water.,,,
Are we downhearted?,VERTICALITY,"VERTICALITY, SCALE, SUBSTANCE",Are we at a low physical position?,,,
Why is he looking so dejected?,VERTICALITY,"VERTICALITY, SCALE, FORCE",Why is his posture so slumped?,,,
"In economic development, the equivalent of having a level playing field is equality of access to basic services.",VERTICALITY,"SCALE, SUPPORT, CONTAINMENT, SOURCE_PATH_GOAL","On a flat sports field, all players have equal opportunity to reach the goal.",,,
The servers are back up after having been down for days.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The elevator is back on the top floor after having been on the ground floor for days.,,,
The government was toppled.,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",The tower was toppled.,,,
The government fell.,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",The book fell from the shelf.,,,
He’s at the peak of health.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",He's at the top of the mountain.,,,
Lazarus rose from the dead.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The balloon rose from the ground.,,,
He’s in top shape.,VERTICALITY,"CONTAINMENT, VERTICALITY, SCALE",The ball is at the top of the shelf.,,,
"As to his health, he’s way up there.",VERTICALITY,"VERTICALITY, SCALE",The bird is flying high in the sky.,,,
He fell ill.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",He fell down the stairs.,,,
He’s sinking fast.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The boat is sinking quickly in the water.,,,
He came down with the flu.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, CONTAINMENT, FORCE",He contracted the flu virus.,,,
His health is declining.,VERTICALITY,"SCALE, VERTICALITY, SOURCE_PATH_GOAL",The temperature is dropping on the thermometer.,,,
He dropped dead.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The ball dropped to the ground.,,,
He fell ill.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",He fell down the stairs.,,,
That was a demeaning comment.,VERTICALITY,"VERTICALITY, FORCE, SCALE",That was a heavy object pushing down.,,,
I won’t do that -- it’s degrading!,VERTICALITY,"VERTICALITY, SCALE, FORCE",The elevator is going down to the basement.,,,
He debased himself.,VERTICALITY,"VERTICALITY, SCALE, FORCE",He lowered himself physically.,,,
... standing on the precipice of distress.,VERTICALITY,"VERTICALITY, SUPPORT, SOURCE_PATH_GOAL, CONTAINMENT",... standing on the edge of a cliff.,,,
she found not only low sexual desire but low distress about it.,VERTICALITY,"SCALE, CONTAINMENT, OBJECT",She measured not only low water levels but low concern about them.,,,
Attack Svetlana was in deep distress before the bombs exploded.,VERTICALITY,"CONTAINMENT, VERTICALITY, FORCE, SOURCE_PATH_GOAL",Svetlana was submerged in water before the rocks fell.,,,
"The tears fall constantly, but, if she was mad with grief back then, she appears to have pulled back a little from the brink.",VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE, CONTAINMENT, SCALE",The person stepped back from the edge of the cliff.,,,
"Today, Bousignac, ... , feels like the whole world is again collapsing around her. ‘I don’t know if I will ever overcome this. The pain is never-ending …,’ adistressed Bousignac said.",VERTICALITY,"CONTAINMENT, FORCE, VERTICALITY, SOURCE_PATH_GOAL, SCALE","Today, the building is collapsing around the person. 'I don't know if I will ever climb over this wall. The physical pain continues,' the injured person said.",,,
Get up.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",Stand up from a seated position.,,,
Wake up.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",Stand up from the bed.,,,
I’m up already.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL",The book is on the top shelf already.,,,
He rises early in the morning.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The sun rises early in the morning.,,,
He fell asleep.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",He fell to the ground.,,,
He dropped off to sleep.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",He fell onto the bed.,,,
He’s  under hypnoses.,VERTICALITY,"CONTAINMENT, VERTICALITY, FORCE",He's under the blanket.,,,
He sank into a coma.,VERTICALITY,"CONTAINMENT, SOURCE_PATH_GOAL, VERTICALITY",He sank into the deep water.,,,
Wake up.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",Stand up from the bed.,,,
He fell into a coma.,VERTICALITY,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",He fell into a deep hole.,,,
"The discussion fell to the emotional level, but I raised it back up to the rational plane.",VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE, FORCE","The elevator descended to the basement level, but I brought it back up to the ground floor.",,,
He couldn’t rise above his emotions.,VERTICALITY,"VERTICALITY, CONTAINMENT, FORCE",He couldn't climb above the fence.,,,
high vs. low brow,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The top shelf is higher than the bottom shelf.,,,
We put our feelings aside and had a high-level intellectual discussion of the matter.,VERTICALITY,"CONTAINMENT, VERTICALITY, OBJECT, SOURCE_PATH_GOAL",We placed the books on the shelf and had a conversation on the top floor of the building.,,,
The discussion fell to an emotional level.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The ball fell to the ground.,,,
He is high-minded.,VERTICALITY,"VERTICALITY, SCALE",The building is tall.,,,
She has high standards.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The building has high floors.,,,
She is upright.,VERTICALITY,"VERTICALITY, OBJECT",The pole is standing vertically.,,,
She is an upstanding citizen.,VERTICALITY,"VERTICALITY, SUPPORT, SCALE",The tree is standing upright in the forest.,,,
Be straight with me.,VERTICALITY,"VERTICALITY, LINK, FORCE",Stand vertically next to me.,,,
He's a crooked businessman.,VERTICALITY,"VERTICALITY, OBJECT, SUBSTANCE",The tree trunk is crooked and bent.,,,
God-fearing men must keep strictly to the straight and narrow.,VERTICALITY,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, SCALE",Hikers must stay on the narrow trail to reach their destination safely.,,,
That was a low trick.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",That was a short ladder.,,,
Don’t be underhanded.,VERTICALITY,"VERTICALITY, CONTAINMENT, COVERING",Don't keep your hand under the table.,,,
I wouldn’t stoop to that.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",I wouldn't bend down to pick up that object.,,,
That would be beneath me.,VERTICALITY,"VERTICALITY, SCALE",The book is beneath the table.,,,
He's a snake in the grass.,VERTICALITY,"CONTAINMENT, OBJECT, COVERING",The snake is hidden in the tall grass.,,,
That was a low-down thing to do.,VERTICALITY,"VERTICALITY, SCALE, OBJECT",The book is on the bottom shelf.,,,
"Upright, on the up and up, on a high moral plain, above board, high-minded, upstanding citizen, underhanded/low trick.",VERTICALITY,"VERTICALITY, SCALE, OBJECT, SUBSTANCE","The tall building stands straight, on the top floor, on a high platform, above the ground level, with a high ceiling, standing structure, low foundation.",,,
That would be beneath me.,VERTICALITY,"VERTICALITY, SCALE",The book is beneath the table.,,,
He is a person of very high moral standards.,VERTICALITY,"VERTICALITY, SCALE, SUBSTANCE",The building has very tall floors.,,,
That’s up in the air.,VERTICALITY,"VERTICALITY, CONTAINMENT, OBJECT",The balloon is floating high in the sky.,,,
The matter is settled.,VERTICALITY,"CONTAINMENT, FORCE, OBJECT",The rock is placed on the ground.,,,
I’d like to raise some questions about that.,VERTICALITY,"VERTICALITY, OBJECT, FORCE",I'd like to lift some objects from the ground.,,,
